review,sentiment
"Low budget, mostly no name actors. . . this is what a campy horror flick is supposed to be all about. These are the types of movies that kept me on the edge of my seat as a kid staying up too late to watch cable. If you liked the 80's horror scene this is the movie for you.",positive
"This has to be some of the worst direction I've seen. The close-up can be a very powerful shot, but when every scene consists of nothing but close-ups, it loses all its impact. <br /><br />Tony Scott has some very beautiful scenery to work with, the backdrops of Mexico, the cantinas, the beautiful estate where Anthony Quinn lives, and the dusty towns Costner rolls through on his journey for revenge. Unfortunately we only catch quick glimpses of these places before the camera cuts to a picture of a big, giant head. Even the transition scenes where Costner is driving alone across Mexico quickly cut to a close-up. <br /><br />The score is over-dramatic and intrusive, dictating every emotion we should feel. The story itself should have been handled much better. Among other things, too many people pop up out of nowhere to help Costner along - it's just bad writing. <br /><br />It's a typical thriller storyline, but many others have taken the same premise and done outstanding things with it. Costner's No Way Out had a somewhat similar storyline, but it was a much better movie. <br /><br />The ending was completely anticlimactic and suffered from the most melodramatic scoring of the film. This movie was never going to be great, but if we saw more of Mexico and less of giant heads this film might have been watchable.",negative
"I found the pace to be glacial and the original story blown way out of proportion to the content. My wife slept through most of it and I did not try to wake her because I felt she was not missing anything.<br /><br />When Holmes and Watson enter the house and then are potentially caught, it is unclear how they could hide all of their entry and burglary tools so quickly. It is also unclear how the door to the study is locked, preventing the servants from getting in.<br /><br />The thing that puzzled me was right at the end when there was a glint in the eye of the broken statute. I have no clue what this was supposed to represent.",negative
"I almost made a fool of myself when I was going to start this review by saying "" This movie reminded me of BILLY ELLIOT "" but then I looked up the resume of screenwriter Lee Hall only to find out that he was the guy who wrote BILLY ELLIOT so it's Mr Hall who's making a fool of himself not me <br /><br />Am I being a bit cruel on him ? No because Lee has something most other aspiring screenwriters from Britain don't have - He has his foot in the door , he has previously written a successful British movie that won awards and made money at the box office and what does he do next ? He gives the audience more of the same <br /><br />Young Jimmy Spud lives on some kitchen sink estate . He is bullied at school and no one loves him . The only thing keeping him going is that he has aspirations to be a ballet dancer . No actually he has aspirations to be an angel but considering his household he may as well be a ballet dancer . He has a macho waster of a father who thinks "" Ballet dancers are a bunch of poofs while his granddad says "" Ballet dancers are as tough as any man you could meet . I remember seeing the Bolshoi ballet ... "" Yup Ballet is a main talking point on a run down British council estate those days - NOT . Come to think of it neither is left wing politics which seems to be the sole preserve of middle class do gooders who live in nice big houses , so right away everything about this set up feels ridiculously false <br /><br />Another major criticism is that this is a film that has no clue who it's trying to appeal to . I have often criticised Channel 4 for broadcasting movies at totally inappropriate times ( THE LAND THAT TIME FORGOT at 6 am for example ) but they showed this at 2 am and for once they've got it spot on . Considering the story involves politics , ballet dancing ( Gawd I hate it ) lung cancer and poverty there's no way this can be deemed suitable for a family audience but since the main protagonist is an 11 year old child and features angels and ballet dancers ( Don't blame me if I seem obsessed with the subject - there was no need to refer to them ) there's not much here for an intelligent adult audience either . <br /><br />Of course if Lee Hall had been told at the script development stage by the producers that he should write a story featuring a schoolboy and an angel and had flatly refused saying that he wanted to write about other themes and stories then I will apologise but throughout the movie you do get the feeling that once the film was completed it was going to be marketed to the exact same audience who enjoyed BILLY ELLIOT",negative
"A swedish splatter movie? Has the world gone insane?<br /><br />Probably not, but it's still not a common sight in these days with swedish gore-flicks, the b-movie business in Sweden seems to have troubles these days, long gone are the golden days of ""Rymdinvasion i lappland"". And this movie seems to have some troubles on its own: it's just too much talk in it, it still manages to be somewhat amusing mainly for the good FX, which are great for a b-movie. The script and most of the acting is still pretty bad though, but that actually don't matter that much, it's supposed to be a gore flick and nothing more, that's where it goes a bit wrong for some reason. There's is simply not enough blood to fill the void. <br /><br />Every person who know about Gert Fylking will have a good laugh over his role as a sgt. though. I nearly laughed my ass off. It's really that hilariously bad. <br /><br />Besides the good parts I've listed there's really nothing else to recommend here unless you're starved for swedish B-movies.<br /><br />4/10",negative
"This was a fantastic movie about two people, one a young teenage girl, and the other, a middle aged man, who are each looking for someone to help them fulfill a certain emptiness left by former loved ones.<br /><br />Both actors give brilliant performances that various audiences can relate to. The script, although written by Gorman Bechard, seems as though it was written from a woman's point of view. And at the same time, men can relate to the male characters because of how well they were developed and described in the movie.<br /><br />The end of the movie has an unusual but powerful and unexpected twist that leaves you speechless. I would recommend this film to anyone who has ever felt lonely or abandoned by a loved one. It is clear in this film that you are not alone.",positive
"It is hard to imagine anyone making a Tom Cruise film look good; hard indeed, but this one makes him look good. Very good. Actually, it makes him look like Sir John Gielgud celebrating Very Good Acting Day with a bravura performance.<br /><br />The acting from the entire ensemble struggled to rise above the risible and failed. The fault was, in part let us be fair, that the plot bore as much resemblance to the HG Wells original as did the butchered carcasses of the human victims in the film to their living predecessors: both were bloodied and violated remnants of more attractive predecessor. But to describe a plot such as this to be a bit holy is to say of the Colander ""My, this kitchen utensil has a remarkable lot of holes"", unless, that is, holes are your bag; in which case this film will commend itself to you.<br /><br />The fault in the other part was that these were demotivated, jobbing, DVD actors who knew full well, one assumes, that this was their exhibition that would wind up on the $5 DVD shelf. And overpriced at that.<br /><br />So should you watch it? Why yes, of course, you should. You are a miserable sinner and deserve punishment.",negative
"I think Charlotte Gainsbourg is one of the best performers in the world. I can't understand why some people say she's not. Boring....??? Maybe the one who said she's boring is because he/she is boring. She's a great actress and the movie was excellent. It has lots of wonderful ideas and very good performers. The direction was great. I imaging myself in the French environment with all the sophistication and perfume, flowers, churches, problems, etc. When she goes to the sister's shop is simply amazing. Everything's great. We have a very good actress, wonderful, for long time. Alain Chabat and Bernadette Lafont are perfect. I like him more than in his next movie LA SCIENCE DES RÊVES. And Eric Lartigau did a very good work.<br /><br />Ana",positive
"This is my kind of film. I am fascinated by strange psychotic nightmares and this movie is just that. But it is also a dark comedy. While I see it mostly as a horror/thriller, there will be others who might see it as a black dramatic comedy.<br /><br />But either way, it is a fascinating descent into madness. The ending caught me off guard, but what an ending! It leaves the viewer a lot to think about.<br /><br />Powerful performances, a complex and detailed plot, a great script filled with dread and dashes of humor, and an eerie atmosphere make this a film worth watching.<br /><br />Personally, I think that I will need to watch this several more times to pick up and understand all the subtleties that are within. But it is such a film that it will be a pleasure and not a chore so to do.",positive
"This movie was a dismal attempt at recreating a crucial time in English history. The film version of Cromwell's growing involvement in the War is marginally accurate but the overall historical accuracy of this movie was way off. This film implies that the war was started over religious differences but the Civil War was in no way Catholic versus Protestant: both sides were Protestant. Cromwell was never present at the battle of Edgehill, nor did he ever ""save the day"". The royalists did not win, the battle ended in a draw.<br /><br />As another reviewer has noted, Cromwell was certainly not one of the ""Five Members"" who were to be removed from the House and arrested. <br /><br />Overall, this movie was decent. The producers tried WAY to hard and it didn't turn out so great. <br /><br />definitely could have been better.",negative
"At first,this movie seems so bad that i almost fell in a trance the first time i saw it.It was like a bad dream.A cosmic bore.But i gave it a second chance,then another and another,etc...I finally got addicted to this film,due to it's dreamlike slow pace,wonderful natural sets,bathed in a mellow autumn light and especially the musical score,which is made of some 70's progressive rock and absolute exquisite folk songs by actor/singer/songwriter Derek Lamb(the Troubadour).You should notice the song about hazel wood,silver trout and lady vanishing in the air...,heard in the middle and near the end of the film.There are some carnal scenes in the beginning ,wich allow us to appreciate the natural charms of Elizabeth Suzuki.If that movie had been made by some ""repertoire"" directors like Bergman,Lars Von Triers or Jean-Luc Goddard,critics would have rolled on the floor,raving about that movie as if it were a cosmic masterpiece.I personally think this film is one million times superior to any of Fellini's cinematic sh#¤@t!Definitely not for the pretentious.",positive
"This was obviously the worst movie ever made...ketchup was the starring role in this movie and would be the only nominee for an award..cause the plot, actors, and anything related to this farce was absolutely horrible and ridiculous. I could have made a better horror flick in my backyard within two hours with a hand-held camera using grass stuffed dummies as the actors, atleast the acting would have been better! Don't waste your time or money on this one...it's extremely cheesy and horrible!!",negative
Definitely one of the most witty and twisted who-dunnit I ever seen. Christopher Reeve and Micheal Caine were brilliant and kept me going through the whole affair. <br /><br />Very classy set pieces and the props really lend a sense of atmosphere to the proceedings. The minimalist feel works for the whole picture.<br /><br />My only complain isn't with the film itself but the lack of a decent widescreen edition of the movie on DVD. I own the fullscreen version (which proves I love the film enough to endure fullscreen presentation) but a awesome Deluxe or 'special' edition would most surely get my cash.,positive
"One thing about Hollywood, someone has a success and it's always rushed to be copied. And another thing is that players give some of their best performances away from their home studio.<br /><br />Rock Hudson got such accolades for his performance in the Texas based film Giant that Universal executives must have thought, let's quick get him into another modern Texas setting.<br /><br />Similarly Robert Stack got great reviews for The High and the Mighty as the pilot who was cracking under the strain of flying a damaged aircraft that it was natural to give him another crack up role.<br /><br />Both of these ends were achieved in Written on the Wind. Before Hudson was the big ranch owner, now he's the son of a hunting companion of Robert Stack's father who took Hudson under his wing. In other words the James Dean part without the James Dean racism from Giant. <br /><br />Lauren Bacall is the executive secretary of an advertising agency that Stack's Hadley Oil Company uses. Hudson likes her, but she's dazzled by Stack's millions and when he woos a girl he's got the means to really pursue a campaign. She marries Stack.<br /><br />And last but not least in the mix we have Dorothy Malone who's Stack's amoral sister who has a yen for Rock, but Rock ain't about to get tangled up with this wild child. <br /><br />Dorothy Malone spent over 10 years in a whole bunch of colorless film heroine roles before landing this gem. She got a Best Supporting Actress Award for her part as Marilee Hadley and it was well deserved.<br /><br />If you like splashy technicolor Fifties soap opera than this is the film for you.",positive
